project,subject,type,status,priority,exp_start_date,exp_end_date,description,expected_time,custom_change_control,custom_approval_owner,custom_approval_teams
PROJ-0003,Inflight Testing in QA,Verification,Working,High,18-08-2025,19-08-2025,Offshore Team.,16,Summer Release - 2025-0023,Princy Esakkimuthu,
PROJ-0003,OQ Formal Execution - Run IDs Review and Approval,Verification,Open,High,18-08-2025,19-08-2025,Offshore Team.,16,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",Princy Esakkimuthu,
PROJ-0003,RTM - Eisai Audit Findings and Summer Release,Verification,Working,High,04-08-2025,19-08-2025,"Find a responsible person from offshore and assign this task to them. NHI, Eisai Findings and Summer release.",96,"Summer Release - 2025-0023, Emergency Release Abeta Ratio - 2025-0027",Princy Esakkimuthu,
PROJ-0003,UAT - Drafting,Verification,Completed,High,13-08-2025,13-08-2025,,8,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",,
PROJ-0003,UAT - External Review,Verification,Completed,High,14-08-2025,15-08-2025,Email needs to be sent to users for their review.,16,,Pauline Stephen,"Business,QA,VAL"
PROJ-0003,UAT - Dry run and Pre-approval,Verification,Completed,High,18-08-2025,18-08-2025,"Once the dry run is completed, please route it for approval and have the scripts pre-approved in ALM.",8,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",Pauline Stephen,
PROJ-0003,Report Checklist,Verification,Working,Medium,19-08-2025,20-08-2025,"Needs to follow up with Kris on his review. Once the review is complete, we need to route it for approval in ML.",16,,Pauline Stephen,
PROJ-0003,UAT - Formal Execution,Verification,Open,High,20-08-2025,20-08-2025,,8,,Pauline Stephen,"Business,QA,VAL"
PROJ-0003,Regression Testing in QA,Verification,Open,High,19-08-2025,19-08-2025,"Route the run IDs for review - ALM. Once the review is completed, we need to route it for approval in ALM.",8,,Princy Esakkimuthu,"IT,QA,VAL"
PROJ-0003,CC Part 2 - Drafting,Verification,Open,High,19-08-2025,19-08-2025,,8,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",Vijitha Paul,
PROJ-0003,CC Part 2 - Review and Approval,Verification,Open,High,20-08-2025,21-08-2025,,16,,,
PROJ-0003,User Guide Drafting,Verification,Open,Medium,25-08-2025,26-08-2025,,16,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",Princy Esakkimuthu,
