project,subject,type,status,priority,exp_start_date,exp_end_date,description,expected_time,custom_change_control,custom_approval_owner,custom_approval_teams
Release Management LIMS,Deploy changes to QA,Verification,Completed,High,2025-08-12,2025-08-12,"Make sure all DEV phase deliverables are approved in ML. DCS, UT, CRR and DRR. Please check if the inflight samples are ready before the deployment. Try to finish the deployment during early hours IST so that team can dry run OQ scripts in QA.",8.0,,,
Release Management LIMS,Perform IQ in QA,Verification,Completed,High,2025-08-12,2025-08-12,,8.0,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",,
Release Management LIMS,IQ Run ID - Route for Review,Verification,Completed,High,,,Follow up with reviewers and route it for approval in ALM.,,Summer Release - 2025-0023,Pauline Stephen,"IT,QA,VAL"
Release Management LIMS,IQ in QA - Approval in ALM,Verification,Open,High,,,,,Summer Release - 2025-0023,Pauline Stephen,"IT,QA,VAL"
Release Management LIMS,OQ Scripts - Dry run and External Review,Verification,Working,High,2025-08-11,2025-08-14,Lets have the dry run and author review completed before this task. So that we can have the OQ script pre-approval completed by Aug 15th for you guys to start the formal execution on Aug 18th.,32.0,Summer Release - 2025-0023,Princy Esakkimuthu,"IT,QA,VAL"
Release Management LIMS,OQ Scripts - Pre-Approval,Verification,Working,High,2025-08-12,2025-08-15,,32.0,"Summer Release - 2025-0023, Emergency Release Abeta Ratio - 2025-0027",Princy Esakkimuthu,
Release Management LIMS,User Guide for sample structure change,Verification,Open,Medium,2025-08-14,2025-08-14,Please route it for approval once the user review is completed.,8.0,,Pauline Stephen,
Release Management LIMS,Load Testing in QA,Verification,Working,High,2025-08-13,2025-08-18,Remember to add inflight samples for each test - HL7 too. Automation Team - please have the samples ready for testing.,32.0,,,
Release Management LIMS,Share load testing results with Rickson and Chris,Verification,Open,Medium,2025-08-14,2025-08-14,,8.0,,,
Release Management LIMS,Inflight Testing in QA,Verification,Working,High,2025-08-18,2025-08-19,Offshore Team.,16.0,Summer Release - 2025-0023,Princy Esakkimuthu,
Release Management LIMS,OQ Formal Execution - Run IDs Review and Approval,Verification,Open,High,2025-08-18,2025-08-19,Offshore Team.,16.0,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",Princy Esakkimuthu,
Release Management LIMS,RTM - Eisai Audit Findings and Summer Release,Verification,Working,High,2025-08-04,2025-08-19,"Find a responsible person from offshore and assign this task to them. NHI, Eisai Findings and Summer release.",96.0,"Summer Release - 2025-0023, Emergency Release Abeta Ratio - 2025-0027",Princy Esakkimuthu,
Release Management LIMS,UAT - Drafting,Verification,Completed,High,2025-08-13,2025-08-13,,8.0,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",,
Release Management LIMS,UAT - External Review,Verification,Completed,High,2025-08-14,2025-08-15,Email needs to be sent to users for their review.,16.0,,Pauline Stephen,"Business,QA,VAL"
Release Management LIMS,UAT - Dry run and Pre-approval,Verification,Completed,High,2025-08-18,2025-08-18,"Once the dry run is completed, please route it for approval and have the scripts pre-approved in ALM.",8.0,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",Pauline Stephen,
Release Management LIMS,Report Checklist,Verification,Working,Medium,2025-08-19,2025-08-20,"Needs to follow up with Kris on his review. Once the review is complete, we need to route it for approval in ML.",16.0,,Pauline Stephen,
Release Management LIMS,UAT - Formal Execution,Verification,Open,High,2025-08-20,2025-08-20,,8.0,,Pauline Stephen,"Business,QA,VAL"
Release Management LIMS,Regression Testing in QA,Verification,Open,High,2025-08-19,2025-08-19,"Route the run IDs for review - ALM. Once the review is completed, we need to route it for approval in ALM.",8.0,,Princy Esakkimuthu,"IT,QA,VAL"
Release Management LIMS,CC Part 2 - Drafting,Verification,Open,High,2025-08-19,2025-08-19,,8.0,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",Vijitha Paul,
Release Management LIMS,CC Part 2 - Review and Approval,Verification,Open,High,2025-08-20,2025-08-21,,16.0,,,
Release Management LIMS,User Guide Drafting,Verification,Open,Medium,2025-08-25,2025-08-26,,16.0,"Summer Release - 2025-0023, Emergency Client Order ID Change - 2025-0028, Emergency Release Abeta Ratio - 2025-0027",Princy Esakkimuthu,
